11-diethoxyethane|ناتا یسکوتا ید1
a|دراد جوم زیر ناوت یاه‌پمال هرجنپ و
a|رتسب هدام ناونع هب یا هدرتسگ درب راک
a|0 زا رتشیب زمرق ورف شبات و رتمورکیم 4
a|درک دهاوخ داجیا اهاناسر نیا نیب لداعم ییورین
a|دنهد‌یم شیامن فرح نیا اب ار یریش لارتناس نادند
a|یهدهد یانبم رد 01 ددع لداعم هدزناش یانبم رد یمقر
a|فاشتکا کمک اب تاعالطا نیبام وجتسج یارب متیروگلا کی
a|0 زا رتهاتوک یو وی شفنبارف شبات .تسا رتمونان 087 ات 004
a|هب لیدبت دنوش‌یم زاغآ رادادص فرح اب هک ییاه هژاو زا شیپ
a|دوش‌یم هدافتسا اهبایریسم یارب یزاب هعسوت رد متیروگلا نیا زا یلک روط هب
a|تسا یهدهد متسیس رد1 1 ددع اب رظانتم هک هدزناش یانبم یسیون ددع متسیس رد یمقر
a|تسا یهدهد متسیس رد 01 ددع اب رظانتم هک هدزناش یانبم یسیون ددع متسیس رد یمقر
a|مسا عرف
a|میقتسم تفص
a|یا
a / b signaling|یب
a / b signaling|یا یهد لانگیس
a / c|یراج باسح
a / c|باسح یرادباسح و یرادرتفد
a / m|یآ سا متسیس رد یسیطانغم نادسم تدش دحاو رتمرب رپمآ
a / o or a / o|هجورد باسح هب داصتقا
a / ux|یا
a / ux|وی
a / ux|سکا
a 4 years|هلاس راهچ
a 4 years|یگلاس 4 رد
a 6 seater|هرفن شش هنودرگ
a 6 seater|دهد یاج ار نت 6 هک ییامیپاوه ای لیبموتا
a acean|یبونج دمجنم سونایقا
a acid|هک رس رهوج
"a acid|1
"a act|1
a ammoniae|کاینوما
a ammoniae|اینوما لولحم
a an any one each either whichever|کی ره
a an mono-one same single uni-unit|کی
a and a|ررکم
a and a|اهراب
a and a|ر رکم
a and a|راب نیدنچ
a and a|هراب هسو هرابود
a and b|یبوا
a and b priint|B و A هخسن
a and b printing|B و A پاچ
a and b rolling|B و A یدنب هقلح
a and b rolls|BA یاه‌هقلح
a and b rolls|B و A یاه‌هقلح
a and b winding|BA یچیپ ملیف
a and b winding|B و A یچیپ ملیف
a and principal|لکومو لیکو
a australis|یبونج قفش
a australis|یبونج رجف ای رون
a axis|a روحم
a axis|c روحم
a axis|x روحم
a axis|دریگیم رارق
a axis|ییغت نالپ کی فیصوت یارب
a axis|یسانش شبنج یانعم کی رد ب
a axis|دنوش‌یم هدافتسا ازجم تروص 2 هب هک c
a axis|تسا دومع 001 رب هک هفرطود یرولب هکبش کی زا یروحم
a axis|a لانوگوتروا عجرم روحم 3 زا یکی ینامتخاس یژولورتپ رد
a axis|دوشیم هتشون زیامتم و کیلاتیا تروص هب الومعم a فرح .تسا a روحم
a axis|کینیلک ونوم یاه‌رولب رد .تسا روحم نیرت‌هاتوک هشیمه الومعم روحم نیا
a bad workman always blames his tools|عبنم
a bad workman always blames his tools|دنک‌یم ییوجبیع شلیاسو زا هشیمه دب رگراک
a bad workman always blames his tools|تسا جک نیمز دیوگ‌یم دصقرب دناوت‌یمن صاقر
a ball is round|تسا یورک ای درگ پوت
a banking perspective|کناب هاگدید زا
a bawling out|نتفگ هباطخ
a bawling out|ندرک شنزرس
a behavioral approach|درکیور
a behavioral approach|یراتفر هاگدید
a big head has a big ache|دراد مه یدایز درد گرزب رس
a big head has a big ache|رتشیب شفرب شیب شماب هک ره
a big wheel|تردق اب صخش
a big wheel|ذوفن اب صخش
a bit|یردق
a bit|یرصتخم
a bit|یمولعمان رادقم
a bit much|رتشیب یمک
a blank line|یلاخ طخ کی
a block from here-four doors from here|– نیا زا دعب رد راهچ نیا زا دعب نامتخاس
"a boat|1
a bomb|‌یمتا بمب
a bon marche|بسانم نازرا بوخ تمیق هب هسنارف
a book|باتک کی
a borealis|یلامشرجفایرون
a bountiful|لک هدنشخب
a bountiful|قلطم ضایف
a bout it|مارآ
a bout it|رضاح
a bout it|کریز
a bout it|علطم
a bout it|هدامآ
a bout one's ear's|یسک شوگ تشپ
a bove named|الاب رد هدرب مان
a bove par|فرصاب
a bove price|تمیق یب
a bove price|اهبنارگ رایسب
a bove two hundred|زا شیب
a box on the ear|یلیس
a box on the ear|هچناپط
a bunch of keys|دیلک هتسد کی
a bundle of nerves|ینابصع مدآ
a bundle of papers|ذغاک تشم کی
"a canal|1
a cappella|یقیسوم یهارمه نودب زاوآ
a capriccio|یقیسوم
a capriccio|وچیرپاکآ دوشیم ارجا هدنناوخ ای هدنزاون هاوخلد هب هک یزاوآ ای گنهآ
"a cat|1
a cat has nine lives|عبنم
a cat has nine lives|دراد ناج تفه هبرگ
a chain|A هریجنز
a change for the worse|رتدب هب لیدبت
a chemical preparation|ییایمیش بیکرت کی
a chemical process|ییایمیش لمع کی
a chemical process|ییایمیشدادیور کی
a cheque for the sum of|غلبم هب یکچ
a cheval|ندرک تیامح فرط ود ره زا ندرک یزاب هزود ود
a cheval|دشاب نازیوآ نیفرط زا اپ ود هک یروط هب راوس هراوس بسا رب راوس هسنارف
a chip on your shoulder|هداتفا قافتا البق هک یزیچ رطاخب ندوب ینابصع
a choice|قشودزا یکیرایتخا قح
"a choice|1
"a circle|1
a claim on someone|یسک هیلع رب اعدا
a clean shave|زیمت حالصا
a clean shave|هزیکاپ شارت
a clear conscience fears no accusation|عبنم
a clear conscience fears no accusation|تسا کاب هچ هبساحم زا تسا کاپ باسح هک ارنآ
a cock and bull story|هانگ زا رتدب رذع
a coffee mill|اس هوهق
a cold day in hell|ین لگ تقو
a copy is missing|تسین شا هخسن کی
a copy is missing|تسا مک نا هخسن کی ،تسا مک نآ هخسن کی
a corporate bond interest rate|ربتعم یاهتکرش هضرق قاروا هرهب خرن
"a council|1
a couvert|نمیا ناهنپ هسنارف
a cow without horns and tail|عبنم
a cow without horns and tail|مد و خاش یب واگ
a crack jaw word|دشاب لکشم نا ظفلت هک ییا هملک
a cross b|b رد برض a
a cting|شیامن رد یرگیزاب
a cup of coffee|ا فطل هوهق ناجنف کی
a cup of tea|یاچ ناجنف کی
a current|یراج باسح
a current current a|یراج باسح
a cut above|رتالاب هلحرم ای هجرد کی
a cygnus a|هجاجد
a daredevil|روسج
a daredevil|عاجش
a daredevil|تماهشاب
a day after the fair|رید
a day after the fair|هتشذگ عقوم زا
a day's grace|تلهم زور کی
a dead heat|دشاب هتشادن هدنرب هک یا هقباسم ای هرجاشم
a dealer in specialties|یصاصتخا یاهوراد ای هژیو یاهالاک هدنشورف
a deceased|ثروم
a deep reader|ناوخرخ
a deep reader|ناوخ رایسب صخش
a deep shelf|رادوت ای نهپ هچقاط
a deep sigh|درس ها
a deep sigh|لد هت زا ها
a deep thinker|روکف صخش
a deep well|دوگ هاچ
a dential made|تسین عومسم رارقا زا دعب راکنا
a descriptive approach|درکیور
a descriptive approach|یفیصوت شور
a desire|قایتشا
a deux|هسنارف
a deux|تولخ رد ینامدوخ
a deux|یرفن ود هرفن ود
a dime a dozen|دیایب تسدب تحار و نازرا هک یزیچ
a director|نواعم
a discertionary opinion in breach|ناحستسا
a display|تسا ینامز یانبم هدنیان هک
a display|یقفا طخ زا یدومع یاهفارحنا تروص هب
a display|اهفده نآ رد هک یرادار رگشیامن یعون یا رگشیامن
a division of the quran|بزح
a division of the quran|نارق زا یشخب ،نآرق زا یشخب
a does of physic|لهسم کاروخ کی
a dog fox|زاب هابور
a dog will not recognize its owne|دسانش‌یمن ار شبحاص گس
a dozen|ددع 21
a dozen|یدادعت
a dozen of arrows|دنزادنا مهاب هک ریت نیدنچ
a dozen of coal|گنس لاغذ هریخذ ای هیال
a dozen of knives|وقاچ هدزاود
a dozen of snow|هدروا داب فرب هدوت
a dozen of water|با ییا هعرج
a dozen old man|توترف
a dozen old man|لازریپ
a dozen old woman|هزوجع نزریپ
a dozen on a bank|کنابب هلاوح
a drop in the bucket|درادن تیمها ندوب کچوک لیلدب هک یزیچ
a dumb creature|هتسب نابز روناج
a embracing|طیحم همهرب
a enlightening|باتناهج
a enlightening|ناهج همه زا لهج یکیرات هدننک فرطرب
a extraordinary|ریبک ریفس
a fellix|نمی
a fellix|سناش
a female decendant of the prophet|هدیس
a ferer|یدر سوفیت
a few|زا یمک
a few books|یباتک دنچ
a few went|دنتفر ییاتدنچ
