11-diethoxyethane|1دی اتوکسی اتان
a dozen of coal|لایه یا ذخیره ذغال سنگ
a dozen of knives|دوازده چاقو
a dozen of snow|توده برف باد اورده
a dozen of water|جرعه ایی اب
a dozen old man|فرتوت
a dozen old woman|پیرزن عجوزه
a dozen on a bank|حواله ببانک
a drop in the bucket|چیزی که بدلیل کوچک بودن اهمیت ندارد
a dumb creature|جانور زبان بسته
a embracing|برهمه محیط
a enlightening|جهانتاب
a extraordinary|سفیر کبیر
a fellix|یمن
a female decendant of the prophet|سیده
a ferer|تیفوس ردی
a few|کمی از
a few books|چند کتابی
a few went|چندتایی رفتند
a fewdays back, a few days back|چند روز پیش
a fiery temper|آتش مزاجی
a fifth of the net income|خمس
a fig far|اه
a figures|ارقام هندسی
a file type variable|یک متغیر از نوع فایل
a fire party|دسته یا هییت آتش نشانان، دسته یا هییت اتش نشانان
a first degree vertex|یک راس درجه یک
a fit of nervers|حالت عصبانی
a five pound note|اسکناس 5 لیره ای
a flag half|پرچم نیمه افراشته
a flame of anger|ظهور خشم
a flash of water|ریزش یا جریان یا ترشح آب، ریزش یا جریان یا ترشح اب
a flash of wit|بذله گویی
a flat race|غشه در زمین هموار
a flea in ones ear|رنجش
a fleet of 20 sail|ناوگانی مرکب از 1 2کشتی یا 1 2فروند کشتی، ناوگانی مرکب از 20 کشتی یا 20 فروند کشتی
a flower pot|گلدان کوزه ای یا گلی
a foe to religion|دشمن یا مخالف دین
a folding screen|تجیر
a follower of the shia sect|شیعی
a fool day|با پی بردن ازعلت بمعلول بطریق استقرا
a fools day|روز یکم اپریل
a for|مشتاق
a for giveing|غفار
a for peace|حامی صلح
a form dna|DNA نوع A
a form the fact that|قطع نظر از اینکه
a formula approach|روش مبتنی بر فرمول
a fortiori|بیشتر
a four oar|کرجی چهار پارویی
a four stringed instrument|سازچهارسیمه
a four wheeler|گردونه چهارچرخه
a four-foot ruler|یک خط کش چهار پائی
a french writer|یک نویسنده فرانسوی
a frequent caller|کسیکه همیشه جایی یابکسی سرمیزند
a frequenter of gaming houses|کسیکه جایش توی قمارخانه‌ها است
a friend of mine|یکی از دوستان من
a friend of yours|یکی از دوستان شما
a friend to commerce|مشوق تجارت
a from grace|محروم ازتوفیق الهی
a full purse never lacks friends|منبع
a fund|وجه موجود
a gal on a horse back|پوست رفتگی یازخم درپشت اسب
a game of swans|دسته ای ازقوکه برای تفریح نگاه دارند
a gammon of bacon|قسمت پایین دنده خوک که پاچه هم بدان ضمیمه باشد، قسمت پایین دنده خوک که پاچه هم به آن ضمیمه باشد
a geological study|یک بر رسی ازلحاظ زمین شناسی
a geometry|هندسه تحلیلی
a gift of the substance|هبه
a gift with a return|هبه معوض
a gleam of hope|پرتوامید، پرتو امید
a go go|کاباره
a goat|مرغوز
a gold watch|ساعت طلا
a good bargain|خریدارزان
a good bearer|درخت پربار
a good beginning makes a good ending|خشت اول چون نهد معمار کج تا ثریا می‌رود دیوار کج
a good brand of flour|یکجورارد خوب
a good deal|مقدار زیادی
a good manager|ادم خانه دار یا صرفه جو
a good name|ابرو
a good penman|شخص خوش نویس
a good pennyworth|خرید ارزان
a good sailor|کسی که درسفردریاسرگیجه یاحالت قی باودست نمیدهد
a gool deal|بسی
a grain hutch|صندوق یا تغار غله
a grass-cutting machine|یک ماشین علف زنی
a grave colour|رنگ تیره
a great deal|مقدار زیادی
a great deal of|یک دنیا
a great old man|شخص بسیار بزرگ
a great orgood many persons|خیلی اشخاص
a great trencherman|ادم خوش خوراک یا پرخور
a guiding|هادی کل
a guilty behaviour|گناه کاری
a guinea pig|موش ازمایشگاه
a habitual drunkard|مست دایم
a half|نیمه a
a half of m|در نیمه اول a ی m
a handful|یک مشت
a hanging coan tenace|سیمای افسرده
a hanging judge|داوری که بدادن حکم اعدام خو گرفته است
a hanging matter|موضوعی که منجربه اعدام شود
a happy chance|خوشبختی
a happy heart makes a blooming visage|منبع
a happy laughter|خنده خوشی
a hard and fast rule|قانون سخت
a hard drinker|زیادمشروب خور
a hard nut to crack|ادم سخت
a hard worker|زحمت کش
a hardy annual|گیاه یکساله که سال بسال تخم ان سبزمیشود، گیاه یک ساله که سال به سال تخم آن سبز میشود
a hardy plant|گیاهی که درسراسرسال میتواند درهوای بازوازادبروید، گیاهی که در سراسر سال میتواند در هوای باز و آزاد برووید
a hart of ten|گوزنی که شاخ هایش ده شاخه داشته باشد
a hasty marriage|عروسی ازروی دست پاچگی
a haute voix|فرانسه با صدای بلند
a heap of stund|توده ای از تن
a heart of stone|سنگدلی
a hens|زیره به کرمان بردن
a hewer of stone|سنگ تراش
a hewer of wood|هیزم شکن
a high opinion|حسن ظن
a high-flying airplane|یک هواپیمای دور پرواز
a hilly place|کوهستان
a hima question|ازاو چیزی بپرسید
a historical perspective|دیدگاه تاریخی
a history|تاریخ قدیم
a hordei|آب جو
a horizons|افق ا
a horse new to the saddle|اسبی که بزین اشنا نیست
a hours|پس ازساعت معین کار
a house swarmed with flies|خانه پر از مگس
a house with ten rooms|با
a hu man affair|کارانسانی
a human being should have humanity|منبع
a human creature|ادم
a humour|مایع یارطوبت زلالی
a hun dred books|یکصد کتاب
a hunt for somethings|جستجو برای چیزی
a iamp|چراغ بی سایه
a iknow|انچه من می‌دانم
a in fact privante a|وکیل خصوصی
a in the wind|گیج
a ina|روی همرفته
a iran|ایران باستان
a jour|طراحی جهت بافت تور
a jup full of water|کوزه ای پرازاب
a kept mistress|زن نشانده
a kick at a person's backside|اردنگ زدن
a kilting needle|میل بافندگی
a kind of animal|قسمی حیوان
a kind of divorce|طلاق خلع
a kindly disposition|خوی ملایم
a king without power|پادشاه بی اقتدار
a knowing|عالم کل
a la a la after esque|به سبک
a la a la esque like|به روش
a la carte|جداجدا سفارش داده شده
a la francaise|فرانسه به روش فرانسوی
a la garconne|آلاگارسن
a la king|مخلوط با سس همراه با قارچ و فلفل سبز
a la mode|به مد روز
a la or a la|فرانسه به سبک به روش
a ladder|نردبان بلنداتش نشانی
a land|زمین بیگانه
a l'anglaise|فرانسه به روش انگلیسی
a languages|زبانهایی که بجای تغییرات صرفی لغت‌های جداگانه دارند
a large number of|تعداد زیاد
a large proportion of|قسمت زیادی از
a large province|استان
a late dinner|ناهار یا شامی که پس از موقع خود بخورند
a late fruit|میوه دیر رس
a late spring|بهار عقب افتاده
a laughing matter|موضوع خنده
a layer|لایه آ
a layer of rocks|لایه یا چینه ای از خاره
a layerof fat|یک لایه چربی
a leading religious authority|امام
a leak in the treasury|کمبود در خزانه
a lean year|خشکسالی
a lease of hounds|سه لنگه تازی
a leaves|برگهای تک تک
a led captain|انگل
a led horse|کتل
a legal approach|رویکرد
a level|مرحله دوم و پیشرفته‌تر امتحانات دوره متوسطه
a licensed satirist|هجو نویس مجاز
a life of misery|زندگی با بدبختی و نکبت
a lift|انرژی
a light burden soon reaches home|منبع
a limb of the sea|شاخه یا بازویی از دریا
a limp collar|یقه نرم
a line|خط استواری مغناطیسی
a lines|بطورمتبادل
a little|کمی
a little bit of svger|یک خرده قند
a little butter|کمی کره
a little food satisfies me|اندکی خوراک مرا سیر می‌کند
a little house|یک خانه کوچک
a little rift within the lute|مقدمه دیوانگی یا دعوا
a little while later|اندکی بعد
a live to pain|حساس نسبت به درد
a loaf of bread|یک نان
a loaf of sugar|یک کله قند
a logical remark has no answe|منبع
a logical remark has no answer|یرف حساب جواب ندارد
a lone woman|زن تک
a long article|مقاله دراز
a long way off|بسیاردور
a longing for prsise|اشتیاق ستایش
a loose fish|ادم هرزه
a lot|کلی
a lot of|بسیاری
a lowering diet|خوراک ضعیف کننده
a luxurious life|تنعم
a lyric|شعراحساساتی
a lyric poem|غزل
a mad project|طرح غیر معقول یا ابلهانه
a malady without a cure|درد بی درمان
a male child|پسر
a male descendant of the prophet|سید
a male falcon|قوش جره
a mam of money|ادم پولدار
a mam of note|مرد بزرگ یا برجسته
a man named joseph|مردی بنام یوسف، مردی به نام یوسف
a man no account|ناکس
a man of a|مردکار
a man of dignified predence|شخص با وجود
a man of fortune|شخص چیزدار
a man of good character|عادل
a man of influence|ادم با نفوذ
a man of initiative|شخص مبتکر یا با قریحه
a man of iron|ادم سخت
a man of learning|شخص عالم
a man of mark|شخص برجسته
a man of means|مثال
a man of mind|شخص با کله یا بافکر
a man of my size|شخصی باندازه من
a man of no principle|ادم بی مسلک
a man of pleasing a|ادم خوش برخوردیاخوش صحبت
a man of pleasure|ادم خوش گذران
a man of polish|مرد اراسته یا مهذب
a man of rank|مرد صاحب نشان
a man of sense|ادم با شعور
a man of that kidney|اینجورمرد
a man of the world|دنیا دیده
a man of your inches|مردی بقامت شما
a man-eating tiger|یک ببر آدم خوار
a manners|ناز
a mare with foal at foot|مادیانی که کره زاییده است
a margin of hope|امید
a marginal note|حشو
a marked difference|تفاوت محسوس
a martyr to gout|اسیر نقرس
a mason's tools|ابزار‌های بنایی
a massive rock|خاره بزرگ
a masts|دگلهای عقب
a mat of hair|دسته موی کرک شده
a material|اسم جنس
a matter of 10 years|یک ده سالی
a matter of fact|امرمسلم یامحقق
a matter of indifference|چیز بی اهمیت
a median|عصب متوسط
a median never|بی میان
a medicinal herb|گیاه طبی
a meriful|بخشنده کل
a merry christmas|یک کریسمس خوش
a mess of pottage|جرعه ای آش، جرعه ای اش
a million pounder|کسیکه یک میلیون لیره پول داشته باشد
a million pounds|یک میلیون لیره
a minister of war|کفیل وزارت جنگ
a mint of money|خروارها پول
a mite of a child|بچه کوچولو
a modal legacy|وصیت نامه ای که مواد و شرایطی راجع بطرزاجرای وصیت در ان باشد
a modal proposition|قضزه شرطی
a model farm|کشتزار نمونه
a modicum of food|خوراک اندک
a module|a قطعه
a module of finite type|مدول از نوع متناهی
a moneyless man goes fast through market|یک مرد بی پول از میان بازار سریع میگذرد
a mongrel between two things|نه این نه ان
a more|هیچ دیگر
a morsel of food|لقمه ای از خوراک
a mound on a grave|توده خاک در روی گور
a mountainovs region|ناحیه کوهستانی
a moutain slipe|راغ
a multiplicity of words|سخنان بسیار
a mute|حرف مصمتی که هنگام ادا کردن ان راه دم زدن بسته میشود
a mute consonant|حرف مصمتی که هنگام ادا کردن ان راه دم زدن بسته میشود
a muzcle|عضله معده
a nail-biter|مردد
a nebulous quality|چگونگی غیر قابل وصف
a neck of land|برزخ
a neck of water|تنگه
a nest of drawers|قفسه
a net ful of fish|یک تور ماهی
a never-ending story|یک داستان بی پایان
a new broom sweeps well|هر اسیاب نوی یک قرقری دارد
a new hat|کلاه نو
a new idea presents itself|یک فکر تازه ای بنظر میرسد، یک فکر تازه ای به نظر می‌رسد
a nice observer|بیننده دقیق
a nine-hundred-mile journey|یک سفر 900 میلی
a nnock about enter tainment|یک مهمانی شلوق
a nominal rent|اجاره اسمی ه در واقع برابر است با هیچ
a nominal ruler|رییس اسمی
a non-muslim|قانون فقه: a
a note of hand|قبض
a notifiable disease|ناخوشی که باید به بهداری اطلاع داده شود
a novel without a purpose|رمانی که مقصود یا مقصدی ندارد
a number|درجه یک
a number of-quite a few|تعدادی چند تایی –
a nuncupative will or testamen|وصیت زبانی در پیش چند گواه
a ocean|اقیانوس منجمد شمالی
a of copper|زنگار
a of death|پیک اجل
a of faith|عقاید
a of lead acetaz plumbi|شکر سرب
a of mind|طرزفکر
a of or to|نسبت به
a of stomach|ترشی معده
a of the covenant|تابوت عهد
a of the ege|کاسه خشک
a of the stars|سعدو نحس ستارگان
a of tones|هم اهنگی
a of triumph|طاق نصرت
a of ud|ماهمه
a ofnuisance|رفع مزاحمت
a one|عامیانه عالی درجه یک و هم مینویسند
a one liter for leakage|یک لیتربایدبرای در رفتگی منظورکنیم
a one self contract|پیمان یک طرفه
a one self judgment|داروی مغرضانه
a oneeslf street|خیابانی که در یک سوی ان ساختمان باشدو بس
a or a|وابسته به حرف
a outrance|فرانسه تا سرحد مرگ به شدت تا آخر
a over|بکلی
a p|لمی
a p evidence|دلیلی که برای استنباط قانونی واقامه دعوادربادی امرموجه بنماید
a p excus 2 a p person|خوش ظاهر
a p medicine the p classes|ملاک‌ها
a p of literature and music|مشوق ادبیات وموسیقی
a padded cell|اطاقی که دیوارهای انرابادوشک چه یاپشتی می‌پوشانندچنانکه درتیمارستان، اطاقی که دیوارهای انرابادوشک چه یاپشتی می‌پوشانند چنان که درتیمارستان
a padded novel|داستانی که با حشوو زوایر دراز شده باشد
a pailful of milk|یک سطل شیر
a pair of balances|یک ترازو
a pair of cancels|بلیط سوراخ کن
a pair of dice|یک جفت تاس
a pair of nippers|یک میخ چین یا انبر دست یا عینک دماغی
a pair of pinaster|ماشه
a pair of rugs|یک جفت قالیچه
a pair of scales|یک ترازو
a pair of scissors|یک قیچی
a pair of shears|قیچی بزرگ
a pair of shoes|یک جفت کفش
a pair of stairs|یک رشته پلگان
a pair of tonga|انبر
a pair of trousers|یک شلوار
a pair os scissors|یک عد د قیچی
a palmful of powder|یک کف دست باروت
a pancratic glass|دوربینی که هرجوربخواهندمیزان میشود
a paragon virtue|نمونه پرهیزگاری
a parisyllabic noum|اسمی که در صرف‌های گوناگون شماره هجاهای ان تغییر نمیکند
a parked vehicle|اتوموبیل یاگردونه دیگری که درایستگاه پشت سرهم درخیابان نگاه داشته باشد
a part|جزءصحیح
a part of it|بخشی از ان
a participant to the crime|ردء
a participial|عبارتی که بر وجه وصفی بنامیشودچون دوعبارت زیرین که باحروف معمولی است
a parturient woman|زن زایو
a pass on a railway|پروانه مسافرت باراه اهن
a pat on the back|نوازش بازدن دست بر پشت کسی
a patch of wheat|پارچه ای از زمین که گندم دران کاشته شده است
a patriotic spirit in to them|کم کم روح میهن پرستی را در ایشان تزیق کرد
a pay telephone|تلفن عمومی که دارای سوراخ یا اسباب ویژه ایست که دران پول میاندازند، تلفن عمومی که دارای سوراخ یا اسباب ویژه ایست که در آن پول میاندازند
a payment|پرداخت مساعده
a peck of troubles|رنج فراوان
a penful of ink|یک قلم مرکب
a penny for your thoughts|صد دینار بگیربگو توی چه فکری هستی
a penny the worse|یک خرده بدتر
a perfect flower|گلی که عده کامل حلقه هارادارا باشد
a periori|مقدم بر تجربه
a person exercising lien|حابس
a person of experience|شخص کارازموده
a person of few words|ادم کم حرف
a person related|محرم
a person who assists|طلیع در جرم محاربه
a perticle of sense|ذره ای حس یاهوش
a pet animal|حیوان دست اموز
a pet name|نام خودمانی
a petraea|حجاز
a physical fact|یک امرمسلم فیزیکی
a pictorial style|شیوه ای از نویسندگی که مطلب رامانندعکس نمودارسازد
a picture without tone|عکس بی حالت
a picturesque scenery|منظره زیبایی که شایسته نقاشی یا عکس برداری باشد
a piebald horse|اسب ابلق
a piece of cake|کاری که انجام آن ساده است. مثل آب خوردن
a piece of one's mind|سرزنش
a piece of ordnance|یک توپ
a pied|فرانسه پیاده برپا
a pillar of stone|ستون سنگی
a pinch of snuff|اندکی انفیه که دریک وهله به بینی کشیده میشود
a pitcher with a spout|افتابه
a plural|اسمی که در صیغه جمع است اسمی که همیشه بصورت جمع گفته میشود
a pocket of money|یک جیب پراز پول
a poet of merit|شاعر بلندپایه
a poetical family|یک خانواده شاعر
a porridge of wheat and meat|هلیم
a posse of policemen|یک دسته پاسبان
a post obitbond|سندی که پرداخت پول ان موکول است بمرگ کسی که وام گیرنده... بردن ازاودارد، سندی که پرداخت پول ان موکول است به مرگ کسی که وام گیرنده... بردن ازاودارد
a posteriori|بعدی
a posteriori empirical experiential experimental practical tentative|تربی
a posteriori probability|احتمال پسین
a posteriori proposition|قضیه بعدی
a posteriori snr|نسبت سیگنال به نویز پسین
a posteriors reasoning|برهان لمی
a postgraduate sudy|درسی که کسی پس از فارغ التحصیل شدن بخواند
a pot of honey|یک ظرف یا یک کوزه عسل
a pot of wine|یک کوزه می
a potent|توانا
a power of work|کارزیاد
a powerful|قادرمطلق
a practising doctor|پزشکی که دست بکار طبابت است
a precedes b|a قبل از b است
a preparatory school|اموزشگاه تهیه
a presage of evil|فال بد
a presence|سطوت
a present help|کمک موثر
a press for olives etc|معصر
a pressure|فشارهوایاجو
a prey to various diseases|دستخوش ناخوشی‌های گوناگون
a price|بهای متوسط
a primary school|اموزشگاه ایتدایی
a prior discovery|یک اکتشاف قبلی
a priori|علنا
a priori analog comparative deductive|قیاسی
a priori distribution|توزیع پیشین
a priori distribution prior distribution|توزیع پیشین
a priori probability prior probability|احتمال پیشین
a priori proposition|قضیه قبلی
a priori snr|نسبت سیگنال به نویز پیشین
a private bill|لایحه ای که مربوط بشخص یا اشخاصی باشد و بس
a private economy|اقتصاد خصوصی
a private person|کسیکه دارای کار ازاد است
a private road|راه خصوصی
a private room|اتاق خلوت
a private school|اموزشگاه ملی
a privative term|لفظ یا کلمه سالبه
a privy chamber|اتاق خلوت
a procession of mourners|دسته عزاداران
a productive labourer|کارگری که کارش سودمندو ارزش دارد
a productive writer|نویسنده ای که تالیفات یا نوشته‌های بسیاربیرون میدهد
a professed chemist|شیمی دانی که ادعای شایستگی و قابلیت در علم خود می‌کند
a professed jew|یهودی بی حاشا
a professed monk|راهبی که نذر کرده یا سوگند خورده است که در مسلک خود پایداربماند
a professional musician|ساز زن رسمی
a professional politician|سیاست باز
a professor of chemistry|استاد شیمی
a professor of christianity|مدعی مسیحیت
a profound secret|سر مکنون
a program language|کامپیوتر: APL
a promissory note|پته طلب
a proper fraction|کسر متعارفی یا حقیقی
a prophet's mission|بعثت
a prophylactic measure|پیش بندی
a prose writer|نثر نویس
a protective tariff|تعرفه گمرکی سنگین بر صنایع بیگانه برای حفظو ترویج صنایع درونی کشور
a protracted meeting|جلسه یا انجمن طولانی
a proud youth|جوان متکبر
a public highway|شارع عام
a puff of smoke|کپه ای ازدود
a punch on the head|بام
a punishment|مجازات ترهیبی
a pura|آب خالص
a pure consonant|حرف گنگی که حرف گنگ دیگر در پس ان نباشد
a purposeful effort|کوششی که متضمن مقصودی باشد
a purseful of money|یک کیف پراز پول
a pyrrhic victory|آفتابه خرج لحیم کردن
a quack medicine|دارویی که بازبان معرفی انرابکنند
a quadrant|N شنیده می‌شود
a quarter past|یک ربع ساعت
a queer custom|یک رسم غریب
a queer customer|ادم غریب
a quick change actor|بازیگری که زودبه زودهییت خودرابرای بازی دیگرعوض کند
a quon dam friend|رفیق سابق
a rag of cloud|یاتیکه ابر، یاتی که ابر
a rain of kisses|بوسه‌های پی درپی
a ran aulay|همه گریختند
a range of mountains|یک رشته کوه
a rapacious lion|شیرشرزه
a ray of hope|ذره ای امید
a ray photography|عکس برداری با اشعه ایکس
a ray protection|حفاظت در برابر اشعه ایکس
a ray spectrum|طیف اشعه ایکس
a reasoning|استدلال قیاسی
a receipt|درمقابل رسید
a reciprocal|ضمیر دو سره
a reedy bed or place|نیزار
a regia|تیزاب سلطانی
a regular flower|گل منظم
a relations|مناسبات دوستانه
a religious mystery|رمز دینی یا راز مذهبی
a rentation|آب نقره دادن، اب نقره دادن
a report|گزارش سالیانه
a residual error|اشتباه باقی مانده در حساب که علت ان هنوز معلوم نشده باشد
a responsive letter|پاسخ نامه
a rest from work|فراغت از کار
a retired life|زندگی بی سروصدا
a review of all the lessons|دوره همه درس‌ها
a rheumatism|بادمفصل
a right|تندرست
a right handed blow|ضربت بادست راست
a rightful heir|وارث حقیقی
a rival wife|هوو
a roll of bread|گرده نان کوچک
a roll of carpet|فرش لوله کرده
a roll of paper|طومار
a roll of tobacco|توتون پیچیده
a rolling stone gathers no moss|یک سنگ چرخان هیچ خزه ای جمع نخواهد کرد
a roomful of women|یک اطاق پراز زن، یک اتاق پر از زن
a rope of 5 metres|طناب 5 متری
a rope of four strand|طناب چهارلا
a rotten apple in jures its companions|یک سیب گندیده هم جواران خود را لکه دار می‌کند
a rough draft|پیش نویس
a rough joke|شوخی خرکی
a round blow|یک ضربت حسابی یا پرزور
a round dozen|یک دوجین تمام
a round number|عد دتمام چون 111در برابر99 یا1 1، عد دتمام چون111 در برابر 99 یا 11
a round of applause|هلهله دسته جمعی
a round of politicians|گروه یا حلقه سیاسیون
a round of spirits|یک دورعرق
a round peg in a square hole|کسیکه شایسته مقام خودنیست
a round trip|گردش یاسفر دوسره
a round-trip ticket|یک بلیط رفت و برگشت لطفا
a row of chairs|یک ردیف صندلی
a rumor was a, the rumor was a|خبری شایع بود
a run on the bank|هجوم عده زیادی به بانک دریک وقت برای گرفتن پول
a run to paris|گردشی تاپاریس
a runaway knock|در زدن ودر رفتن
a runaway marriage|عروسی پس از فرار
a rush of work|کارزیاد
a sack of flour|یک کیسه ارد
a sackful of flour|یک کیسه ارد
a sad dog|ادم سبک مغز
a sad sight|منظره غم انگیز
a saints day|روز یادبواولیاءوپاکان روز یکم نوامبر
a salt or with|شوخی ظریف
a saucerful of tea|یک نعلبکی چای
a scamper through a book|خواندن
a scan|ارایه
a scant half hour|بزورنیم ساعت
a section of|قشری از
a security against attack|وسیله ایمنی از حمله
a seeds|چشم خروس
a seeing|بصیر
a seeming friend|دوست نما
a sensitive market|بازاری که مظنه‌های ان زودزودبالاوپایین میرود
a separate room|اتاق جدا گانه، اطاق جدا گانه
a series of coins|مجموعه ای از سکه
a series of his books|یک دوره از کتابهای او
a series of kings|یک سلسله پادشاهان
a series of misfortunes|یک رشته بدبختی
a series of stamps|یک دوره تمبر
a set type|یک نوع مجموعه ای
a shade better|یک جزئی بهتر، یک جزیی بهتر
a shake of the head|تکان دادن سر
a ship's load|بار کشتی
a shoemarker's kit|کفشدوز ی
a short pull|پاروزنی یا کرجی رانی کم
a short vowel|حرف صدایی کوتاه
a shot in the dark|تیری در تاریکی انداختن
a shoulder to cry on|همدرد
a shower of arrows|تیر باران
a shower of honours|احترامات پی در پی
a shower or storm of arrows|تیر باران
a shred of evidence|ذره ای مدرک یا دلیل
a sick look|نگاه بیمارانه
a sick of mutton|یک شقه گوسفند
a sickness|هواخوردگی خلبان
a side carrier|حامل سمت a
a sight for sore|نور چشم
a sight for sore eyes|نور چشم
a sight of|زیاد
a significant event|رویداد مهم
a simple sentence|جمله ساده یابسیط
a sin against morality|گناه اخلاقی
a single heart|دل ساده یا بی تزویر
a single town and two different rates|منبع
a six-f|ادم شش پی قد
a sixes|دوشش
a slap on the wrist|تنبیه خیلی ملایم
a slip of the tongue|وقتی چیزی را گفته اید که قصد گفتنش را نداشته اید
a small province|ولایت
a small quantity of flour|قدری ارد
a small quantity of sugar|اندکی قند
a smooth hand or skin|دست یا پوست نرم
a snow storm|بارندگی برف
a snug corner|گوشه دنج یابی سروصدا
a social party|انجمن انس
a sofa-a couch-a daybed|کاپانه نیمکت تختخواب روزانه – –
a solus of problem|راه حل یک مسیله
a solution of salt|آب نمک
a sort of tree|نوعی درخت
a souls day|روزدوم نوامبر
a sound mind in a sound body|عقل سالم در بدن سالم است
a span of mules|یک جفت استر
a spark of truth|ذره ای راستی یاحقیقت
a special two-piece garment|حله
a specially|حج
a specified number of times|به تعداد دفعات مشخص
a specimen of one's signature|نمونه امضا
a speech having no pith|سخن بی مغز
a spirits|نوشابه‌های الکلی تند
a sporadic disease|ناخوشی تک توک
a square meal|یک نهارحسابی
a squeezed orange|نارنج فشرده یا آب گرفته، نارنج فشرده یا اب گرفته
a stack of work|کارزیادیاروی هم انباشته
a stand for a vase|زیر گلدانی
a statement of basic accounting theory|بیانیه تیوری بنیاد حسابداری
a station master station|ایستگاه ای
a still tongue makes a wise head|منبع
a stitch in time saves nine|اندک تعمیربهنگام از زیان‌های بزرگ بعدی جلوگیری خواهد کرد
a story weather|هوای طوفانی
a stout heart|جرات
a stream of history|جریان تاریخ
a street dog|سگ بازاری
a stretch of land|یک تیکه زمین ممتد
a stricken heart|دل اندوهگین یامحنت زده
a string of caracters|رشته ای از کاراکتر‌ها
a stroke of lightning|برق زدگی
a strong|فعلی که تغییرات حرفی ان درنتیجه تغییرحروف باشدنه درنتیجه افزایش ملحقا
a strong will|اراده قوی
a structural approach|رویکرد
a structure member|عضو ساختار
